index	t вып-обр	t обработка	t под током	t продувка	ПСН гр.	чист расход C	чист расход Cr	чист расход Mn	чист расход Si	чист расход V	температура первая	температура последняя	Ar (интенс.)	N2 (интенс.)	эл. энергия (интенс.)	произв жидкая сталь	расход газ Ar	расход газ  N2	расход C пров.	сыпуч кварцит	сыпуч кокс пыль УСТК	сыпуч  кокс. мелочь (сух.)	сыпуч  кокс. мелочь КМ1	сыпуч  шпат плав.	ферспл CaC2	ферспл FeMo	ферспл FeSi-75	ферспл FeV азот.	ферспл  FeV-80	ферспл  Mn5Si65Al0.5	ферспл  Ni H1 пласт.	ферспл SiMn18	ферспл  ферванит	ферспл  фх850А	эл. энергия	химсталь первый Al_1	химсталь первый C_1	химсталь первый Cr_1	химсталь первый Cu_1	химсталь первый Mn_1	химсталь первый Mo_1	химсталь первый N_1	химсталь первый Ni_1	химсталь первый P_1	химсталь первый S_1	химсталь первый Si_1	химсталь первый Ti_1	химсталь первый V_1	химсталь последний Al	химсталь последний C	химсталь последний Ca	химсталь последний Cr	химсталь последний Cu	химсталь последний Mn	химсталь последний Mo	химсталь последний N	химсталь последний Ni	химсталь последний P	химсталь последний S	химсталь последний Si	химсталь последний Ti	химсталь последний V	химшлак первый Al2O3_1	химшлак первый CaO_1	химшлак первый FeO_1	химшлак первый MgO_1	химшлак первый MnO_1	химшлак первый R_1	химшлак первый SiO2_1	химшлак последний Al2O3	химшлак последний CaO	химшлак последний FeO	химшлак последний MgO	химшлак последний MnO	химшлак последний R	химшлак последний SiO2
4	0.2111111111111111	0.11628883303346528	0.1314432989690722	0.13762509771628575	0.1826322987246434	0.5253463652681176	0.3738908214691831	0.5001541201724625	0.2760261171910871	0.5136545251058353	0.65	0.4954128440366973	0.3149017101004706	0.0	0.21431662602914747	0.19658119658119652	0.18944695609091472	0.0	0.0	0.0	0.07097386873389198	0.0	0.49911773994440234	0.15838335710108514	0.25	0.0	0.0	0.0	0.5204906095942871	0.22633008589906176	0.0	0.5022808387642453	0.0	0.378646602687755	0.13897165558866223	0.3333333333333333	0.4826989619377163	0.5897435897435895	0.5431034482758621	0.5387096774193548	0.23809523809523808	0.5384615384615385	0.42372881355932196	0.19999999999999996	0.25	0.7337962962962962	0.0	0.015384615384615384	0.20000000000000004	0.7600000000000003	0.03841577486767981	0.5445544554455448	0.5495495495495495	0.804123711340206	0.23809523809523808	0.6000000000000001	0.43589743589743596	0.25	0.48000000000000004	0.5753424657534243	0.3333333333333333	0.12500000000000008	0.12894683962078413	0.6666666666666669	0.022900763358778626	0.11726384364820848	0.03414634146341462	0.29729729729729726	0.6357578480856169	0.5548120811098441	0.7721518987341771	0.2272727272727273	0.1308411214953271	0.035460992907801414	0.6153846153846154	0.6379875672319695
5	0.011111111111111112	0.12594458438287154	0.1434707903780069	0.1490524522465679	0.15551944755228275	0.3750981601974423	0.3644604049789273	0.45537409690115027	0.23010978446203892	0.5340781911471315	0.6	0.5779816513761468	0.1768483138330058	0.0	0.18770942236162794	0.2307692307692308	0.11015978200284879	0.0	0.0	0.0	0.533352877403854	0.0	0.01001601483873429	0.36339253934569254	0.25	0.0	0.0	0.0	0.5411699981661471	0.1869652761796403	0.0	0.45892551113046887	0.0	0.36899825800899344	0.131255252502101	0.3333333333333333	0.5294117647058822	0.5787545787545787	0.5086206896551724	0.5516129032258061	0.28571428571428575	0.4615384615384615	0.4745762711864405	0.19999999999999996	0.2777777777777778	0.7523148148148148	0.16666666666666669	0.015384615384615384	0.20000000000000004	0.4066666666666665	0.04407146018199592	0.3069306930693071	0.49549549549549554	0.0	0.28571428571428564	0.5	0.4700854700854702	0.18749999999999994	0.44	0.0616438356164384	0.3333333333333333	0.14999999999999994	0.1677129968028367	0.8178294573643412	0.015267175572519085	0.08794788273615635	0.014634146341463412	0.45945945945945943	0.5344780452663078	0.568352859907378	0.8354430379746834	0.4545454545454546	0.06853582554517135	0.07801418439716312	0.7692307692307694	0.5317153044557963
67	0.4111111111111111	0.1458558236775819	0.15721649484536085	0.17261693545707762	0.1711845854569336	0.0	0.021488153253903044	0.09673665754164423	0.07279013772097545	0.4580413974538016	0.5125	0.5779816513761468	0.37124882233581313	0.0	0.16998814328303238	0.17378917378917383	0.25091348238062794	0.0	0.0	0.0	0.0024228706593179697	0.0	0.03146937392092966	0.17456829254144887	0.18847335844207322	0.0	0.0	0.0	0.46463321763369786	0.10066550102552388	0.0	0.10341182453350126	0.0	0.019823451593757604	0.13018565207426083	0.3333333333333333	0.4653979238754325	0.6263736263736261	0.5258620689655173	0.5870967741935484	0.28571428571428575	0.4615384615384615	0.41525423728813554	0.26666666666666666	0.38888888888888895	0.7800925925925926	0.16666666666666669	0.015384615384615384	0.20000000000000004	0.6333333333333335	0.03841577486767981	0.5247524752475244	0.5315315315315317	0.9072164948453607	0.28571428571428564	0.5	0.4017094017094017	0.31250000000000006	0.5599999999999999	0.6438356164383559	0.3333333333333333	0.14999999999999994	0.07171488585920933	0.753875968992248	0.011450381679389315	0.13029315960912052	0.04390243902439024	0.3243243243243243	0.6802424559898982	0.5406223123491923	0.740506329113924	0.27272727272727276	0.21495327102803738	0.19858156028368798	0.6153846153846154	0.6409109715591474
70	0.6333333333333333	0.30904402087081684	0.4670675841924399	0.36574632715370203	0.11341174314906095	0.6103881534664573	0.8737028954527412	0.7239090336392482	0.5459260329073159	0.49399860508118104	0.6875	0.6422018348623854	0.3682499470435397	0.0	0.2151268010582756	0.17094017094017094	0.49676410478726707	0.0	0.0	0.0	0.07097386873389198	0.0	0.5513424305663129	0.4065523671866626	0.25	0.0	0.0	0.0	0.5005879116730133	0.4670610376447548	0.0	0.717323263827777	0.0	0.8900088706621182	0.4632133852853541	0.3333333333333333	0.4238754325259516	0.13186813186813176	0.5086206896551724	0.3354838709677418	0.3333333333333334	0.38461538461538464	0.40677966101694907	0.26666666666666666	0.19444444444444448	0.5347222222222221	0.0	0.015384615384615384	0.20000000000000004	0.6533333333333335	0.02406377150749593	0.574257425742574	0.5315315315315317	0.9587628865979381	0.3333333333333333	0.5	0.41880341880341887	0.31250000000000006	0.12000000000000001	0.5342465753424661	0.0	0.12500000000000008	0.11956144222606642	0.5000000000000001	0.019083969465648856	0.4690553745928339	0.08780487804878047	0.16216216216216212	0.7102539273653242	0.5211828275586593	0.7151898734177216	0.1363636363636364	0.2336448598130841	0.07801418439716312	0.38461538461538475	0.8484248737017589
82	0.17777777777777778	0.16684658762144655	0.5254868281786943	0.19745901068955085	0.42049025192454476	0.7285730311868971	0.3908655711516436	0.4972144465738012	0.2447764540028325	0.49438112642397963	0.125	0.8990825688073395	0.26860557170324845	0.0	0.2824287115930552	0.16951566951566938	0.22809190561714246	0.0	0.0	0.0	0.07097386873389198	0.0	0.710390352005768	0.1529883786209639	0.25	0.0	0.0	0.0	0.5009762569983065	0.19302140075185895	0.0	0.5005466256588943	0.0	0.3960136231095258	0.6295362518145007	0.3333333333333333	0.2837370242214533	0.5494505494505492	0.47413793103448265	0.5709677419354839	0.23809523809523808	0.30769230769230765	0.3559322033898305	0.26666666666666666	0.22222222222222218	0.7916666666666666	0.16666666666666669	0.030769230769230767	0.20000000000000004	0.5066666666666667	0.06711978158804759	0.5643564356435641	0.4864864864864865	0.9278350515463917	0.23809523809523808	0.4000000000000001	0.3589743589743591	0.31250000000000006	0.39999999999999997	0.6643835616438354	0.6666666666666666	0.14999999999999994	0.1621569338194161	0.556201550387597	0.019083969465648856	0.4364820846905538	0.1170731707317073	0.2702702702702702	0.5733774957365497	0.5492995225523483	0.7120253164556962	0.18181818181818185	0.2367601246105919	0.0921985815602837	0.38461538461538475	0.8326068856887567
83	0.2111111111111111	0.11275039006836993	0.26775486941580756	0.13130811297731448	0.21675648700087669	0.7384661768005384	0.5021444857366621	0.6793646226041753	0.41796990358022806	0.5329171104635132	0.68125	0.6422018348623854	0.35025849035305795	0.0	0.22470192278190598	0.24074074074074062	0.20201895088870991	0.0	0.0	0.0	0.07097386873389198	0.0	0.710390352005768	0.17456829254144887	0.25	0.0	0.0	0.0	0.5399941748201207	0.3383683904851076	0.0	0.6774363624047025	0.0	0.5098640903189123	0.28077011230804494	0.3333333333333333	0.3131487889273356	0.48717948717948706	0.41379310344827586	0.396774193548387	0.1904761904761905	0.4615384615384615	0.3559322033898305	0.19999999999999996	0.19444444444444448	0.6180555555555555	0.0	0.015384615384615384	0.20000000000000004	0.6000000000000002	0.08147178494823146	0.5346534653465344	0.4054054054054055	0.8659793814433	0.19047619047619047	0.4000000000000001	0.3589743589743591	0.25	0.28	0.5616438356164388	0.3333333333333333	0.14999999999999994	0.14630133658298974	0.494186046511628	0.022900763358778626	0.45602605863192186	0.224390243902439	0.18918918918918917	0.6583875420467581	0.5552128160077451	0.7373417721518989	0.40909090909090917	0.2118380062305296	0.10638297872340426	0.38461538461538475	0.8585433830565572
87	0.06666666666666667	0.16924553220582947	0.3642611683848797	0.20029810516001165	0.2089983755052817	0.4893426071348442	0.43990373690097384	0.6141192109060231	0.28829360930699777	0.5213576669171753	0.40625	0.5871559633027523	0.23902319927043927	0.0	0.24229799183434717	0.19800569800569787	0.20093515823372757	0.0	0.0	0.0	0.07097386873389198	0.0	0.4552015228305229	0.13680344318060011	0.25	0.0	0.0	0.0	0.5282898782105911	0.21270380561156974	0.0	0.6167389037174154	0.0	0.446185015439086	0.3980441592176637	0.3333333333333333	0.5519031141868511	0.5018315018315017	0.40517241379310354	0.4419354838709677	0.14285714285714288	0.5384615384615385	0.2627118644067796	0.06666666666666667	0.22222222222222218	0.7777777777777778	0.16666666666666669	0.015384615384615384	0.20000000000000004	0.6000000000000002	0.03841577486767981	0.46534653465346504	0.4144144144144144	0.7422680412371142	0.14285714285714285	0.4000000000000001	0.27350427350427353	0.125	0.24000000000000005	0.42465753424657565	0.3333333333333333	0.12500000000000008	0.132193081071124	0.4631782945736435	0.03435114503816794	0.40716612377850164	0.1073170731707317	0.18918918918918917	0.6114242371709135	0.5289394537816431	0.7341772151898734	0.18181818181818185	0.205607476635514	0.07092198581560284	0.38461538461538475	0.8531045510536467
88	0.23333333333333334	0.5726280439006837	0.5638602525773196	0.6776918164983047	0.1945178680712542	0.39332089970832407	0.453106319987332	0.594823664628883	0.27853091877932956	0.5148047924652758	0.46875	0.8440366972477065	0.13603720900862346	0.0	0.25179621761462745	0.215099715099715	0.4775964575462933	0.0	0.0	0.0	0.07097386873389198	0.0	0.3543129159472864	0.28786284062399514	0.25	0.0	0.0	0.0	0.5216556455701665	0.20664768103935102	0.0	0.5976625595585537	0.0	0.45969269798935214	0.6198334479333791	0.3333333333333333	0.5813148788927335	0.4945054945054944	0.5689655172413793	0.4419354838709677	0.1904761904761905	0.4615384615384615	0.36440677966101687	0.06666666666666667	0.19444444444444448	0.7407407407407407	0.16666666666666669	0.015384615384615384	0.20000000000000004	0.5066666666666667	0.02406377150749593	0.5148514851485145	0.5855855855855857	0.8144329896907225	0.19047619047619047	0.4000000000000001	0.3675213675213675	0.125	0.2	0.41095890410958935	0.3333333333333333	0.12500000000000008	0.12186283971584348	0.494186046511628	0.011450381679389315	0.36156351791530944	0.053658536585365846	0.2702702702702702	0.5195294174359404	0.5270695653904046	0.6360759493670887	0.2272727272727273	0.44236760124610586	0.09929078014184396	0.30769230769230776	0.846181047547482
89	0.4444444444444444	0.19455439618567832	0.40635738831615115	0.2302505501837958	0.22922819807568243	0.4181764639892305	0.40218207093995056	0.5030006447474943	0.21681622904492046	0.5013178738842001	0.29375	0.6605504587155964	0.2631345379454165	0.0	0.2346611979107214	0.14814814814814803	0.26029603022233233	0.0	0.0	0.0	0.07097386873389198	0.0	0.38517296040568816	0.29325781910411636	0.25	0.0	0.0	0.0	0.5079988349640242	0.16122674674771081	0.0	0.5074834780802986	0.0	0.4075916367240397	0.43104897241958895	0.0	0.5415224913494809	0.5347985347985347	0.663793103448276	0.5258064516129033	0.23809523809523808	0.5384615384615385	0.3728813559322034	0.13333333333333333	0.2777777777777778	0.7986111111111109	0.16666666666666669	0.015384615384615384	0.20000000000000004	0.5666666666666668	0.02406377150749593	0.5148514851485145	0.6396396396396398	0.804123711340206	0.19047619047619047	0.6999999999999998	0.3760683760683762	0.18749999999999994	0.48000000000000004	0.5410958904109585	0.3333333333333333	0.14999999999999994	0.12635749499665347	0.5852713178294574	0.007633587786259542	0.3387622149837134	0.03414634146341462	0.2702702702702702	0.6089560513669717	0.5253278371596007	0.7056962025316457	0.09090909090909091	0.2118380062305296	0.04255319148936171	0.38461538461538475	0.8195124867278903
90	0.6888888888888889	0.1080124746311623	0.2222222233676976	0.12783022228293986	0.16018218440904777	0.5714115436392193	0.3965238210457971	0.5230468625680015	0.3338779803797728	0.5101969646999033	0.58125	0.6238532110091743	0.6891196088413103	0.0	0.2255678617211259	0.20370370370370366	0.38748683966061803	0.0	0.0	0.0	0.07097386873389198	0.0	0.5454078066320049	0.28786284062399514	0.25	0.0	0.0	0.0	0.5150214129297418	0.28386326933513933	0.0	0.5230913960284581	0.0	0.4018026299167827	0.23661089464435786	0.3333333333333333	0.43598615916955014	0.5677655677655675	0.5948275862068967	0.5258064516129033	0.28571428571428575	0.5384615384615385	0.3728813559322034	0.3333333333333334	0.3333333333333333	0.6805555555555555	0.16666666666666669	0.030769230769230767	0.20000000000000004	0.6066666666666661	0.06711978158804759	0.5445544554455448	0.5945945945945947	0.9278350515463917	0.28571428571428564	0.6999999999999998	0.3760683760683762	0.375	0.28	0.650684931506849	0.3333333333333333	0.14999999999999994	0.13256125161576804	0.44379844961240317	0.0038167938931297713	0.33224755700325737	0.029268292682926824	0.18918918918918917	0.6004744119057173	0.5452818540021468	0.5253164556962026	0.1363636363636364	0.41744548286604355	0.06382978723404255	0.23076923076923078	0.8069805564956547
