index	DT	t вып-обр	t продувка	ПСН гр.	чист расход C	чист расход Cr	чист расход Mn	чист расход Si	чист расход V	температура первая	температура последняя	Ar (интенс.)	эл. энергия (интенс.)	произв жидкая сталь	произв количество обработок	расход газ Ar	сыпуч известь РП	сыпуч кокс пыль УСТК	сыпуч  кокс. мелочь КМ1	сыпуч  шпат плав.	ферспл CaC2	ферспл  FeV-80	ферспл  Mn5Si65Al0.5	ферспл SiMn18	ферспл  фх850А	эл. энергия	химсталь первый Al_1	химсталь первый C_1	химсталь первый Mn_1	химсталь первый N_1	химсталь первый S_1	химсталь первый Ti_1	химсталь первый V_1	химсталь последний Al	химсталь последний C	химсталь последний Ca	химсталь последний Cr	химсталь последний Cu	химсталь последний Mn	химсталь последний Mo	химсталь последний N	химсталь последний Ni	химсталь последний P	химсталь последний S	химсталь последний Si	химсталь последний Ti	химсталь последний V	химшлак первый Al2O3_1	химшлак первый CaO_1	химшлак первый FeO_1	химшлак первый MgO_1	химшлак первый MnO_1	химшлак первый R_1	химшлак первый SiO2_1	химшлак последний Al2O3	химшлак последний CaO	химшлак последний FeO	химшлак последний MgO	химшлак последний MnO	химшлак последний R	химшлак последний SiO2
0	0.030978934324659233	0.30303030303030304	0.14872626515305087	0.20263621528037734	0.4995690131506243	0.08746753323766263	0.31322520075897714	0.20245921908708742	0.48018253823879803	0.7198067632850241	0.7153846153846154	0.4343738955807194	0.20875911356237684	0.2363387978142076	0.0	0.2669372554154119	0.12844160655628534	0.3030972743341711	0.4311828801928854	0.5235849056603774	0.25	0.5054912060512575	0.17480288548896936	0.32135368614653015	0.08779264214046821	0.3251176959291055	0.2	0.446033810143043	0.4743488555643252	0.39285714285714285	0.35135135135135137	0.2857142857142857	0.024096385542168672	0.0425531914893617	0.8183990442054958	0.014285714285714285	0.5776772247360483	0.35497835497835495	0.43702290076335887	0.13333333333333333	0.5	0.3888888888888889	0.3888888888888889	0.5555555555555556	0.782270606531882	0.5	0.4044943820224719	0.0	0.6684027777777778	0.03355704697986577	0.09893048128342247	0.01238938053097345	0.14772727272727276	0.0	0.0	0.5537974683544303	0.2195121951219512	0.17901234567901234	0.07801418439716312	0.6666666666666666	0.0
2	0.0322180916976456	0.25252525252525254	0.15811879181025745	0.19325703120432233	0.3616587468228533	0.11996098058517263	0.3530466223082888	0.27728036291388475	0.4853289106540948	0.8067632850241546	0.7307692307692307	0.4419791311934318	0.19949148952105158	0.24043715846994526	0.0	0.2852674609755742	0.1951383763303686	0.19247779406975382	0.37677428612437874	0.23113207547169812	0.25	0.5113954637872307	0.24708292471621288	0.3584935341683618	0.12040133779264212	0.22362226530047077	0.2	0.6072821846553967	0.468034727703236	0.39285714285714285	0.24324324324324323	0.2857142857142857	0.024096385542168672	0.06382978723404255	0.8351254480286738	0.12857142857142856	0.5776772247360483	0.277056277056277	0.4427480916030535	0.08333333333333334	0.5	0.33333333333333337	0.22222222222222224	0.3703703703703703	0.7962674961119751	0.5	0.4157303370786517	0.0	0.5694444444444444	0.023489932885906045	0.22994652406417113	0.01238938053097345	0.14772727272727276	0.0	0.0	0.6740506329113926	0.09756097560975609	0.25	0.06382978723404255	0.4666666666666665	0.0
3	0.03841387856257745	0.18181818181818182	0.16960605432799514	0.19011536372077387	0.4128025196154271	0.1966121897126321	0.5918601226422741	0.3312697722408398	0.4885421966754551	0.7971014492753623	0.7384615384615385	0.3976856083626937	0.21464903722872136	0.24726775956284144	0.0	0.27982659043628794	0.15809810842838418	0.19247779406975382	0.42030116137918405	0.22169811320754718	0.25	0.5150822238020895	0.24858875886678047	0.5965261964901012	0.19732441471571902	0.26170036001107727	0.2	0.5734720416124838	0.4183109707971586	0.39285714285714285	0.2702702702702703	0.14285714285714285	0.012048192771084336	0.0425531914893617	0.8315412186379928	0.02857142857142857	0.5806938159879337	0.25541125541125537	0.4472010178117049	0.11666666666666667	0.5416666666666666	0.27777777777777785	0.16666666666666669	0.4074074074074074	0.8009331259720062	0.5	0.4157303370786517	0.0	0.6006944444444444	0.010067114093959734	0.17112299465240643	0.01061946902654867	0.125	0.0	0.0	0.7721518987341771	0.09756097560975609	0.19444444444444445	0.05673758865248226	0.6666666666666666	0.0
4	0.030978934324659233	0.21212121212121213	0.1789985809852017	0.18382877615860255	0.4259862968283788	0.15495392388249107	0.4523647680735243	0.28402530846827495	0.48039615556793347	0.8164251207729468	0.7461538461538462	0.30549165089847957	0.21431662602914747	0.22950819672131142	0.0	0.2383945067574448	0.16454452413720208	0.19247779406975382	0.4420645990065867	0.10849056603773587	0.25	0.505736083100215	0.23051874905996955	0.45809585386327406	0.1555183946488294	0.2197452229299363	0.2	0.539661898569571	0.45067087608524076	0.39285714285714285	0.2702702702702703	0.14285714285714285	0.024096385542168672	0.0425531914893617	0.8518518518518519	0.04285714285714285	0.583710407239819	0.264069264069264	0.4478371501272266	0.08333333333333334	0.5416666666666666	0.35416666666666674	0.22222222222222224	0.5185185185185186	0.7962674961119751	0.5	0.4044943820224719	0.0	0.5972222222222224	0.020134228187919465	0.12566844919786097	0.01238938053097345	0.125	0.0	0.0	0.7721518987341771	0.1219512195121951	0.1388888888888889	0.035460992907801414	0.6	0.0
83	0.05947955390334572	0.21212121212121213	0.172984661260896	0.22922627977559937	0.5939385567466018	0.21160916541148286	0.6273505700220079	0.42440075720754145	0.49111538288310347	0.8285024154589372	0.7871794871794872	0.3383323863285869	0.22470192278190604	0.2718579234972676	0.0	0.2502073058962161	0.3669619773940837	0.19247779406975382	0.6181505943555717	0.12264150943396226	0.25	0.518034352670076	0.34195047620197006	0.6286015197816831	0.2123745819397993	0.3482414843533647	0.2	0.4122236671001301	0.4159431728492502	0.35714285714285715	0.21621621621621617	0.14285714285714285	0.024096385542168672	0.0425531914893617	0.8231780167264038	0.0857142857142857	0.5822021116138764	0.19480519480519476	0.4516539440203563	0.06666666666666667	0.4583333333333333	0.2916666666666667	0.22222222222222224	0.33333333333333337	0.7931570762052876	0.5	0.4157303370786517	0.0	0.4427083333333334	0.020134228187919465	0.4037433155080214	0.08141592920353982	0.07954545454545454	0.0	0.0	0.7373417721518989	0.2195121951219512	0.2191358024691358	0.10638297872340426	0.4000000000000001	0.0
87	0.03717472118959108	0.08080808080808081	0.23866477478207984	0.22102185156758758	0.3976129959111504	0.18411470996358978	0.563643250782665	0.2961572569986272	0.48468279345082965	0.7222222222222222	0.7717948717948718	0.23501277580868032	0.24229799183434722	0.23087431693989058	0.0	0.24918896114287373	0.1903301869724736	0.19247779406975382	0.405462453905955	0.08962264150943396	0.25	0.5106540305001097	0.21696624170486145	0.5695153979287692	0.18478260869565216	0.45451398504569374	0.2	0.5916775032509753	0.42699289660615625	0.39285714285714285	0.24324324324324323	0.2857142857142857	0.024096385542168672	0.0425531914893617	0.8231780167264038	0.04285714285714285	0.5716440422322776	0.1991341991341991	0.4440203562340968	0.05	0.4583333333333333	0.22222222222222224	0.11111111111111112	0.2962962962962963	0.7620528771384139	0.5	0.4044943820224719	0.0	0.41493055555555564	0.0302013422818792	0.36363636363636365	0.03893805309734513	0.07954545454545454	0.0	0.0	0.7341772151898734	0.09756097560975609	0.212962962962963	0.07092198581560284	0.4000000000000001	0.0
90	0.03717472118959108	0.6464646464646465	0.16967362659639165	0.16939731182424328	0.4622886506796331	0.1649519076817249	0.4747178379691342	0.3412379661132572	0.4784720952583268	0.7898550724637681	0.782051282051282	0.653079607662706	0.22556786172112595	0.2363387978142076	0.0	0.4244751887574739	0.18001592183836498	0.19247779406975382	0.4806452384369823	0.22169811320754718	0.25	0.5022873979940647	0.28774044678153743	0.4783539527842732	0.16555183946488292	0.308224868457491	0.2	0.504551365409623	0.44751381215469616	0.39285714285714285	0.35135135135135137	0.2857142857142857	0.03614457831325301	0.0425531914893617	0.8243727598566308	0.07142857142857142	0.583710407239819	0.2857142857142857	0.4554707379134861	0.1	0.5833333333333334	0.3055555555555556	0.33333333333333337	0.33333333333333337	0.8133748055987559	0.5	0.4157303370786517	0.0	0.39756944444444453	0.0033557046979865775	0.3021390374331551	0.01061946902654867	0.07954545454545454	0.0	0.0	0.5253164556962026	0.07317073170731707	0.4228395061728395	0.06382978723404255	0.2666666666666666	0.0
93	0.03345724907063197	0.30303030303030304	0.1555510508818163	0.17660345940719746	0.47419604376174157	0.16745140363153338	0.506960723494719	0.2630294270633479	0.48066693809782335	0.8115942028985508	0.7333333333333333	0.2795633508543723	0.2223536293830156	0.22950819672131142	0.0	0.1957258615924002	0.1874907922883104	0.2911134973055259	0.4015054652464272	0.3867924528301887	0.25	0.5047497727641365	0.19437872944634782	0.5138056258960215	0.16806020066889632	0.219468291332041	0.0	0.5188556566970092	0.42383583267561165	0.35714285714285715	0.24324324324324323	0.14285714285714285	0.024096385542168672	0.0425531914893617	0.8112305854241338	0.014285714285714285	0.5731523378582203	0.23376623376623376	0.44083969465648865	0.08333333333333334	0.5416666666666666	0.2708333333333334	0.16666666666666669	0.4074074074074074	0.791601866251944	0.5	0.4044943820224719	0.0	0.47395833333333337	0.023489932885906045	0.3877005347593583	0.017699115044247784	0.1022727272727273	0.0	0.0	0.6645569620253164	0.1219512195121951	0.2438271604938272	0.049645390070921995	0.4000000000000001	0.0
94	0.04337050805452292	0.21212121212121213	0.1528481654165822	0.18411476981439187	0.502469886175268	0.18328154464698695	0.5840007019441766	0.3887062665745739	0.47615088723821486	0.8285024154589372	0.7410256410256411	0.4463215119038004	0.21318146626526585	0.19262295081967204	0.0	0.279899329347241	0.3037871034476684	0.19247779406975382	0.5212043721971418	0.22169811320754718	0.25	0.4995869483152845	0.31333962734118614	0.5863971470296017	0.18394648829431434	0.2441844364441983	0.0	0.4837451235370612	0.4127861089187056	0.39285714285714285	0.29729729729729737	0.14285714285714285	0.024096385542168672	0.0425531914893617	0.8255675029868578	0.02857142857142857	0.579185520361991	0.32034632034632027	0.4478371501272266	0.08333333333333334	0.5416666666666666	0.2986111111111111	0.16666666666666669	0.3703703703703703	0.7947122861586313	0.5	0.4157303370786517	0.0	0.42187500000000006	0.023489932885906045	0.44117647058823534	0.06017699115044248	0.05681818181818182	0.0	0.0	0.47468354430379744	0.04878048780487804	0.4074074074074074	0.06382978723404255	0.2666666666666666	0.0
95	0.0322180916976456	0.24242424242424243	0.1512940064869248	0.19895626376161485	0.4970107194165101	0.12995896438440646	0.48676645295355586	0.3053644061292881	0.4793754558649873	0.7801932367149759	0.7564102564102564	0.5217123262261678	0.21562727869898513	0.24043715846994526	0.0	0.31385385298011315	0.21990869504860178	0.19247779406975382	0.5231828665269057	0.22169811320754718	0.25	0.5032737083301433	0.2455770905656453	0.49185935206493914	0.13043478260869562	0.26793132096372196	0.2	0.48894668400520164	0.44435674822415155	0.35714285714285715	0.29729729729729737	0.2857142857142857	0.024096385542168672	0.0425531914893617	0.8183990442054958	0.04285714285714285	0.5761689291101056	0.24675324675324675	0.4465648854961833	0.06666666666666667	0.5416666666666666	0.27777777777777785	0.22222222222222224	0.5185185185185186	0.7838258164852256	0.5	0.4044943820224719	0.0	0.4288194444444445	0.020134228187919465	0.34224598930481287	0.026548672566371685	0.11363636363636362	0.0	0.0	0.4145569620253165	0.2195121951219512	0.3888888888888889	0.11347517730496455	0.4000000000000001	0.0
