iter	Passed	Remaining
0	22	222274
1	41	206605
2	57	191355
3	75	187837
4	91	182766
5	108	180323
6	124	177600
7	139	174488
8	156	173905
9	173	172960
10	190	172900
11	207	172441
12	224	172451
13	241	171919
14	256	170994
15	273	170783
16	290	170811
17	308	170820
18	325	170882
19	342	170858
20	358	170272
21	376	170605
22	392	170417
23	409	170323
24	427	170673
25	445	170787
26	461	170585
27	478	170368
28	495	170235
29	512	170403
30	529	170400
31	547	170661
32	563	170141
33	580	170292
34	597	170235
35	615	170248
36	633	170490
37	653	171198
38	674	172289
39	697	173748
40	717	174373
41	740	175661
42	764	177027
43	787	178234
44	812	179777
45	829	179560
46	847	179398
47	864	179331
48	881	178982
49	899	178954
50	916	178805
51	932	178467
52	949	178187
53	967	178122
54	984	178031
55	1000	177657
56	1017	177467
57	1033	177178
58	1050	177020
59	1065	176574
60	1081	176199
61	1098	176150
62	1118	176402
63	1134	176201
64	1151	176069
65	1170	176110
66	1186	175843
67	1202	175601
68	1221	175747
69	1243	176340
70	1266	177125
71	1290	177980
72	1311	178369
73	1334	178948
74	1363	180385
75	1379	180102
76	1396	179925
77	1413	179804
78	1430	179678
79	1446	179397
80	1462	179064
81	1479	178902
82	1497	178872
83	1515	178872
84	1532	178776
85	1550	178687
86	1571	179074
87	1593	179498
88	1615	179902
89	1636	180157
90	1658	180601
91	1678	180726
92	1698	180888
93	1715	180833
94	1735	180931
95	1756	181182
96	1775	181224
97	1790	180961
98	1807	180765
99	1823	180527
100	1839	180265
101	1856	180144
102	1875	180169
103	1892	180057
104	1909	179973
105	1926	179842
106	1943	179693
107	1960	179611
108	1978	179530
109	1995	179379
110	2011	179233
111	2028	179066
112	2044	178847
113	2060	178656
114	2076	178522
115	2092	178298
116	2109	178208
117	2126	178071
118	2143	178021
119	2161	177945
120	2177	177814
121	2196	177817
122	2212	177691
123	2230	177677
124	2252	177955
125	2275	178304
126	2298	178708
127	2319	178920
128	2341	179168
129	2360	179179
130	2378	179191
131	2395	179113
132	2414	179152
133	2435	179309
134	2457	179601
135	2482	180043
136	2518	181332
137	2539	181509
138	2561	181726
139	2582	181914
140	2602	181958
141	2617	181726
142	2633	181527
143	2652	181539
144	2669	181458
145	2686	181348
146	2703	181179
147	2722	181210
148	2740	181174
149	2759	181227
150	2775	181043
151	2793	180959
152	2810	180895
153	2830	180938
154	2853	181245
155	2872	181288
156	2891	181303
157	2917	181718
158	2938	181857
159	2962	182182
160	2983	182299
161	3003	182388
162	3023	182459
163	3046	182706
164	3065	182736
165	3087	182893
166	3110	183146
167	3131	183259
168	3150	183295
